feature,file,line,event,screen,button,trigger,payload
attendance,app/features/attendance/hooks/useAttendanceScreen.ts,69,in_app_review,attendance,,,screen=attendance; totalAttendedDays=~totalAttendedDays
attendance,app/features/attendance/hooks/useAttendanceScreen.ts,90,screen_viewed,attendance,,,screen=attendance; source=home
attendance,app/features/attendance/hooks/useMonthlyCalendar.ts,98,button_clicked,attendance,monthly_calendar_previous_month,,screen=attendance; button=monthly_calendar_previous_month
attendance,app/features/attendance/hooks/useMonthlyCalendar.ts,106,button_clicked,attendance,monthly_calendar_next_month,,screen=attendance; button=monthly_calendar_next_month
boxBreathing,app/features/boxBreathing/components/BoxBreathingAppreciation.tsx,76,button_clicked,box_breathing_summary,share_box_breathing_summary,,screen=box_breathing_summary; button=share_box_breathing_summary
boxBreathing,app/features/boxBreathing/components/BoxBreathingCheckin.tsx,101,box_breathing_checkin_rated,,,,rating=~next; completed_sessions_total=~completedSessionsTotal
boxBreathing,app/features/boxBreathing/components/BoxBreathingCheckin.tsx,119,box_breathing_checkin_submitted,,,,rating=~rating; note=~note; completed_sessions_total=~completedSessionsTotal
boxBreathing,app/features/boxBreathing/components/BoxBreathingCheckin.tsx,130,button_clicked,box_breathing_summary,share_box_breathing_checkin,,screen=box_breathing_summary; button=share_box_breathing_checkin; rating=~rating
boxBreathing,app/features/boxBreathing/components/BoxBreathingCheckin.tsx,135,box_breathing_checkin_shared,,,,rating=~rating; completed_sessions_total=~completedSessionsTotal
boxBreathing,app/features/boxBreathing/components/BoxBreathingFacts.tsx,63,box_breathing_fact_shown,,,,fact_id=~fact.id; expert_name=~fact.expert_name; completed_sessions_total=~completedSessionsTotal; fact=~fact.fact
boxBreathing,app/features/boxBreathing/components/BoxBreathingFacts.tsx,72,button_clicked,box_breathing_summary,share_box_breathing_fact,,screen=box_breathing_summary; button=share_box_breathing_fact
boxBreathing,app/features/boxBreathing/components/BreatheEverydayCard.tsx,40,button_clicked,home,breathe_everyday_cta,,screen=home; button=breathe_everyday_cta; component=breathe_everyday_card
boxBreathing,app/features/boxBreathing/components/BreatheEverydayCard.tsx,49,button_clicked,home,box_breathing_settings,,button=box_breathing_settings; screen=home
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingCustomSettings.ts,52,screen_viewed,box_breathing_custom,,,screen=box_breathing_custom
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingCustomSettings.ts,64,button_clicked,box_breathing_custom,custom_duration_changed,,screen=box_breathing_custom; button=custom_duration_changed; duration_min=~val
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingCustomSettings.ts,75,button_clicked,box_breathing_custom,custom_pattern_selected,,screen=box_breathing_custom; button=custom_pattern_selected; pattern=~`${seconds}-${seconds}-${seconds}-${seconds}`
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingCustomSettings.ts,91,button_clicked,box_breathing_custom,custom_set_pattern,,screen=box_breathing_custom; button=custom_set_pattern; pattern=~`${resolvedSeconds}-${resolvedSeconds}-${resolvedSeconds}-${resolvedSeconds}`; duration_min=~minutes
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingSettings.ts,89,button_clicked,box_breathing_preferences,notifications_toggle,,screen=box_breathing_preferences; button=notifications_toggle; value=off; blocked_reason=no_permission
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingSettings.ts,105,button_clicked,box_breathing_preferences,notifications_toggle,,screen=box_breathing_preferences; button=notifications_toggle; value=on | off
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingSettings.ts,131,screen_viewed,box_breathing_preferences,,,screen=box_breathing_preferences; entered_via=~route?.params?.onboardingExperience ?? 'settings'; has_customized=~preferences.hasCustomized; difficulty=~preferences.difficulty; seconds_per_side=~preferences.secondsPerSide; minutes=~preferences.minutes
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingSettings.ts,159,button_clicked,box_breathing_preferences,preferences_save,,screen=box_breathing_preferences; button=preferences_save; preset=~localSettings.difficulty.toLowerCase(); pattern=~`${rawPerSide}-${rawPerSide}-${rawPerSide}-${rawPerSide}`; duration_min=~localSettings.minutes
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingSettings.ts,200,button_clicked,box_breathing_preferences,preset_selected,,screen=box_breathing_preferences; button=preset_selected; preset=~difficulty.toLowerCase()
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingSettings.ts,227,button_clicked,box_breathing_preferences,preset_selected,,screen=box_breathing_preferences; button=preset_selected; preset=custom
boxBreathing,app/features/boxBreathing/hooks/useBoxBreathingSettings.ts,259,button_clicked,box_breathing_preferences,guided_sound_toggle,,screen=box_breathing_preferences; button=guided_sound_toggle; value=on | off
